Description,Designator,Footprint,JLCPCB Part #
CAP CER 1UF 25V X7R 0805,"C1, C2, C9, C10, C19, C20",CL21B105KAFNFNE,C1712 
CAP CER 0.1UF 25V X7R 0805,"C3, C13, C14, C15, C16",CL21B104KACNNNC,C318717 
CAP TANT 0.1UF 10% 35V 0805,"C4, C6, C21",TAJR104K035RNJ,C1952743 
CAP TANT 2.2UF 10% 20V 0805,"C5, C8",TAJR225K020RNJ,
CAP TANT 0.47UF 10% 20V 0805,C7,TAJR474K020RNJ,C444771 
CAP TANT 10UF 20% 6.3V 0805,"C11, C12",TAJR106M006RNJ,C7235 
CAP CER 10UF 10V X7R 0805,"C17, C18",CL21B106KPQNFNE,C307538 
LED GREEN CLEAR CHIP SMD,D1,LTST-C171GKT,C913075 
FERRITE BEAD 1K OHM 0805 1LN,"FB1, FB3",ILBB0805ER102V,C499529 
FERRITE BEAD 220 OHM 0805 1LN,FB2,BLM21PG221SN1D,C85840 
CONN HDR 20POS 0.1 TIN SMD,"J1, J2",NPTC102KFMS-RC,C3319203 
CONN JACK STEREO 3.5MM SMD R/A,J3,SJ-3523-SMT-TR,C4991872 
"TERMINAL BLOCK, SCREW TYPE, 5.00","J4, J5",TB001-500-02BE,
"MIC COND ANLG OMNI -44DB 0.382""D",MK1,CMA-4544PF-W,C3273770 
RES 330 OHM 1% 1/4W 0805,R1,RC0805FR-7W330RL,
RES 100K OHM 1% 1/4W 0805,R2,RC0805FR-7W100KL,C723424 
RES 150K OHM 1% 1/8W 0805,R3,RC0805FR-07150KL,C114558 
RES 2.2K OHM 1% 1/8W 0805,R4,RC0805FR-072K2L,C114561 
RES 20K OHM 1% 1/8W 0805,R5,RC0805FR-0720KL,C114566 
IC XPND 400KHZ I2C SMBUS 24TSSOP,U1,"PCA9555PW,118",C128392 
IC VREF SERIES 0.15% SOT23-5,U2,MAX6029EUK33+T,C2156993 
IC AMP CLASS AB MONO 14TDFN,U3,MAX9814ETD+T,C41714 
IC AMP CLASS D STEREO 2.8W 20QFN,U4,TPA2016D2RTJR,C412823 
IC DAC 12BIT V-OUT 10MSOP,U5,MCP48FVB22-E/UN,C636231 
IC REG LINEAR 3.3V 1A SOT223-4,VR1,TLV1117LV33DCYR,C15578 
