Comment,Designator,Part Number,JLCPCB Part #
CAP CER 1UF 25V X7R 0805,"C1, C14",CL21B105KAFNFNE,C1712 
CAP CER 1UF 25V X7R 0603,C2,GCM188R71E105KA64D,C85862 
CAP CER 100PF 50V C0G/NP0 0402,"C3, C4, C5",GCM1555C1H101JA16D,C126492 
CAP CER 0.1UF 50V X7R 0402,"C6, C11, C13",GRM155R71H104KE14D,C77020 
CAP CER 12PF 50V C0G/NP0 0402,"C7, C8, C9, C10",GJM1555C1H120GB01D,C161305 
CAP CER 4.7UF 25V X5R 0603,C12,GRM188R61E475KE11D,C90057 
LED GREEN CLEAR CHIP SMD,D1,LTST-C171GKT,C913075 
DIODE SCHOTTKY 30V 5A PMDS,D2,RBR5L30BDDTE25,
RF FILTR LO PASS 2.4-2.5GHZ 0402,FL1,2450FM07A0029T,C2917726 
CONN HDR 20POS 0.1 TIN SMD,"J1, J2, J5",NPTC102KFMS-RC,C3319203 
"UMCC MICRO-COAX RECEPTACLE, GEN",J3,2337019-1,C434807 
CONN HEADER SMD 20POS 2.54MM,J4,3020-20-0300-00,C5349087 
FIXED IND 10UH 50MA 1.17 OHM SMD,L2,LQM18FN100M00D,C86083 
FIXED IND 15NH 560MA 172MOHM SMD,L3,0402HS-150EKTS,
RES 10K OHM 1% 1/8W 0805,R1,RC0805FR-0710K(L),C84376 
RES 330 OHM 1% 1/4W 0805,"R2, R5",RC0805FR-7W330RL,
RES SMD 43K OHM 0.1% 1/8W 0805,"R3, R4, R6",RT0805BRD0743KL,C865493 
IC XPND 400KHZ I2C SMBUS 24TSSOP,U1,"PCA9555PW,118",C128392 
IC RF TXRX+MCU BLUETOOTH 48VFQFN,U2,NRF52810-QFAA-R7,C141828 
IC GATE AND 1CH 2-INP SOT23-5,U3,SN74AHC1G08DBVR,C7467 
IC REG LINEAR 3.3V 1A SOT223-4,VR1,TLV1117LV33DCYR,C15578 
CRYSTAL 32.0000MHZ 8PF SMD,X1,ECS-320-8-37CKM,C5355474 
CRYSTAL 32.7680KHZ 9PF SMD,X2,ECS-.327-9-34QS-TR,C2449861 
