"Designator","Mid X","Mid Y","Layer","Rotation"
"VR1","-55.0819mm","19.5740mm","BottomLayer","0"
"U3","-52.5378mm","11.4800mm","BottomLayer","180"
"R6","-51.3829mm","6.8510mm","BottomLayer","270"
"R5","-38.2270mm","-34.8140mm","TopLayer","0"
"J5","-63.6260mm","0.0000mm","BottomLayer","270"
"D2","-63.6699mm","19.5740mm","BottomLayer","270"
"D1","-38.2270mm","-32.2740mm","TopLayer","180"
"C1","-60.7509mm","21.4750mm","BottomLayer","90"
"FL1","-41.1607mm","-1.0835mm","TopLayer","270"
"U1","-38.2270mm","28.4640mm","TopLayer","90"
"R1","-43.9420mm","24.6290mm","TopLayer","270"
"X2","-39.3607mm","8.9361mm","TopLayer","0"
"X1","-35.9797mm","-1.6380mm","TopLayer","90"
"U2","-40.9607mm","3.4290mm","TopLayer","270"
"R4","-51.3833mm","3.0100mm","BottomLayer","90"
"R3","-53.6923mm","3.0100mm","BottomLayer","270"
"R2","-53.6918mm","6.8510mm","BottomLayer","270"
"L2","-36.0717mm","5.2291mm","TopLayer","0"
"L3","-34.8647mm","3.6671mm","TopLayer","270"
"J4","-63.6259mm","-0.0001mm","TopLayer","270"
"J3","-41.1607mm","-9.3443mm","TopLayer","180"
"J2","-38.2270mm","-28.4640mm","BottomLayer","270"
"J1","-38.2270mm","28.4640mm","BottomLayer","270"
"C14","-60.7509mm","17.6730mm","BottomLayer","90"
"C13","-45.0247mm","6.3147mm","TopLayer","270"
"C12","-36.0717mm","6.3911mm","TopLayer","180"
"C11","-36.4416mm","0.9529mm","TopLayer","180"
"C10","-38.4107mm","10.3461mm","TopLayer","180"
"C9","-40.3107mm","10.3461mm","TopLayer","0"
"C8","-37.0416mm","0.0751mm","TopLayer","0"
"C7","-37.5917mm","-1.4310mm","TopLayer","270"
"C6","-38.0607mm","7.5341mm","TopLayer","180"
"C5","-39.3154mm","-1.7877mm","TopLayer","90"
"C4","-38.4534mm","-1.4310mm","TopLayer","90"
"C3","-36.8967mm","3.6671mm","TopLayer","90"
"C2","-35.8807mm","3.3921mm","TopLayer","90"
